PopulationGroup	PC1	PC2	PC3
African	408.2018622754708	74.68358784846124	-8.559708054287116
African	412.3888949382878	80.4878810048122	-7.56067515792448
African	401.8168979007586	78.57122316086534	-5.585049273135979
African	405.5858938291197	79.60566219441556	-6.475496178292781
African	408.47587143653817	81.409229357317	-3.4983685220602903
African	404.7469143418913	80.36448985377959	-5.955494853283688
African	402.09116327708625	75.71957234689155	-4.2171128867959045
African	402.4790342677302	76.03856484752185	-5.152229504689202
African	404.45590894036053	78.26812185782808	-6.112337567539681
African	407.44417691644327	80.62990230819322	-3.3060067808328193
African	401.4790969338921	75.27962046351358	-4.929341325826273
African	401.6671571445884	76.6999507875844	-5.808897407239024
African	404.4208936606972	75.64410458059554	-6.152450809457339
African	402.1479472464476	74.71952191665443	-6.532967031782605
African	403.182902473191	78.89853608533564	-6.11201523217449
African	403.51509822147284	77.98153850665605	-2.304398111478146
African	402.34187124982054	75.2850344563977	-5.293060137293078
African	410.0081771981078	78.24445982213813	-3.1432636534260023
African	403.2440670230622	77.37821756658889	-5.614778944325074
African	408.29592119885973	81.9765443520423	-6.318083913061209
African	402.2500481158724	78.88811589165786	-7.13615389780702
African	402.4459111884363	78.07213863001317	-6.290318689866569
African	412.34495844031744	81.34223204633129	-7.034035296954289
African	410.61318404631345	79.49759848595774	-9.480982880396004
African	403.45604233837634	76.46980283787576	-5.260468916212357
African	405.4138339332798	75.91024454707856	-8.504269927421081
African	407.576158337336	75.39900396709378	-4.014605404867865
African	405.3798892308321	76.78638905565683	-2.359581522232965
African	403.53313225486613	75.51147456586872	-3.180846303952448
African	400.33799615943286	79.73478534725197	-5.635408921631351
African	404.3921280423231	75.18082676195839	-4.431436488691606
African	405.282064674117	77.51009586641314	-9.97722472609088
African	407.68694821748835	79.47453156232909	-11.864895307911747
African	401.29817169326844	78.04481779985736	-8.379674435080979
African	415.66798665677135	80.61936683268044	-7.458855946822669
African	401.9021565683362	77.91012292935336	-4.425677620481551
African	402.4521772586847	75.29556931503807	-6.124665700939745
African	414.2461997007635	78.07186259006187	-3.0166966341678054
African	405.23218548782785	77.05937511108648	-7.999885903201326
African	400.3538392517645	72.09909469134286	-7.071405116351955
African	401.7331354272844	77.16433136673123	-6.892838732059653
African	405.06698205166936	73.04367309624571	-6.917519873641692
African	406.399170299724	74.91983785461876	-10.775763743819669
African	401.0948109563665	76.97377956223143	-5.789349008951708
African	407.5491447764311	81.56454049328781	-7.348819986210149
African	404.92799914880425	76.59377525660899	-4.987667117327136
African	402.81618552774916	79.19276441458632	-3.3868021714094843
African	409.3270549817729	82.7248894684934	-5.1409664102729415
African	412.12602614124114	79.90635976614617	-6.614798087586742
African	406.19692289421903	78.36940595825146	-7.950382467482444
Asian	158.63289616786997	-277.9088116574994	-136.53697010891494
Asian	156.56313644214998	-276.9449237522511	-136.34113383930605
Asian	156.64802515741215	-277.8909652704759	-134.0749046902404
Asian	157.68015786656542	-276.58986258214486	-134.7699005365448
Asian	157.78103997196183	-277.17509701575534	-129.23204738658367
Asian	163.2200446527904	-275.7288636450947	-134.41900417221152
Asian	161.32011577241542	-278.97617286806394	-136.97182865677627
Asian	162.10705746633363	-276.9949225313901	-135.00104288060396
Asian	158.68895556508366	-278.6660960872842	-137.2390776718596
Asian	156.04781329052776	-275.5411761661017	-132.07215620838562
Asian	156.67188985393113	-278.56314822785424	-131.51200817214166
Asian	159.00281587011702	-276.9399434978322	-133.20205462628257
Asian	158.51707522084712	-276.693041317996	-136.61611883942152
Asian	160.11508397007705	-275.8368771291387	-137.0891710515813
Asian	160.31895467986854	-275.2659500883549	-136.04504851333954
Asian	162.46284739322505	-276.1749794873828	-134.67618251578676
Asian	157.33988110725173	-275.0739838847808	-135.6499440624306
Asian	159.1659907042655	-275.49693173598286	-137.39383912390696
Asian	162.44998127462537	-276.69103835918816	-134.49493326187675
Asian	159.94007911003428	-275.7381276570742	-135.16689846966975
Asian	155.7171818641861	-275.29209734783683	-130.71388389599213
Asian	158.55200277434048	-278.06197341968874	-135.4408918736483
Asian	161.8640416906695	-276.3190039806215	-137.24016023015633
Asian	158.41388419703486	-275.0870208946094	-132.52096969611335
Asian	163.0461731750684	-275.59797266962346	-137.49484741517642
Asian	158.1951800878318	-275.63595710955815	-133.34208257407155
Asian	156.84712192426065	-275.08883660984213	-134.12605855873534
Asian	158.83717906819516	-277.4159097326333	-136.60712818259373
Asian	159.93294695089935	-276.53884086682507	-129.5509487994778
Asian	161.9210510322825	-278.7388862609669	-137.08104059497154
Asian	158.60595898127443	-277.6109017800522	-138.11383782229146
Asian	160.2408213373012	-280.87086586483537	-136.46681090513962
Asian	158.4179424030781	-275.677038207093	-134.4088244227371
Asian	158.6748631132286	-276.6678501867975	-132.96504902870666
Asian	157.54795217566928	-276.7598137299261	-132.7518116148851
Asian	159.14502766636107	-276.9228354264928	-135.4841094512403
Asian	154.08287655616869	-277.50791163318814	-133.5449863155905
Asian	157.8960476381366	-275.44586111625483	-132.92093149677189
Asian	158.80219677509638	-275.22303738499255	-129.21182965230446
Asian	155.76200110300397	-275.98480009165434	-135.2849891942132
Asian	160.47418743035345	-275.66382693132897	-136.81115187811713
Asian	158.15702280645306	-275.3210252974639	-138.49615713863093
Asian	158.03806353169475	-275.777121266832	-142.08781761274608
Asian	157.8681566561346	-276.1189267800541	-136.08314738749593
Asian	157.3729367300202	-275.6141518617734	-135.32305701340763
Asian	159.48586945580848	-276.12607814736083	-139.4299563192838
Asian	161.32016241395053	-276.7499680433524	-131.0839569763219
Asian	155.64285807819905	-275.2230096220299	-131.5538964526211
Asian	159.28283127389773	-275.40581216826513	-133.81808259523038
Asian	160.17606560750508	-275.89290574032157	-133.18708745995139
European	-12.312769492853526	3.32712827945292	-1.69156978283979
European	-11.91679910487095	2.3878191767071746	-3.516192840667199
European	-13.59835822206717	4.801958677899427	-1.3770338894166798
European	-12.111764086086398	3.0517093997192943	-4.058992743088044
European	-10.635951984490175	5.186142336397674	-1.92993647045983
European	-13.50651152733462	3.8893641839280164	-5.044088592715375
European	-11.387420701735746	3.73669855725877	-0.6633941499176361
European	-13.367618354532217	4.2125013302547485	-1.3375063941668346
European	-10.436413619466778	4.633954947934058	-3.9222885136262513
European	-11.424958517714124	2.051328513368424	-2.028516053348016
European	-9.48767472642444	1.0944919605541974	0.625717305016812
European	-13.999527581603079	0.07089205911624363	0.08285903172922879
European	-12.087847451098915	2.229789557139315	-1.5710387145967595
European	-14.433112791719287	3.01685829481706	-3.256070046314206
European	-10.599760255051777	2.7046109274714443	-2.8150194026072697
European	-10.62385960042514	1.9222692370114476	-2.107430696610156
European	-14.145436538618059	5.871506039181874	-5.366036679660492
European	-11.04000553927105	2.457229458626937	-2.2545320148970185
European	-11.754716292760987	3.408608846758809	-4.18193648424033
European	-12.186219176591932	4.271135768746584	-0.16762293181521445
European	-12.041169342254197	2.711365580807179	-0.5445142402877994
European	-12.416400400287657	4.3757399996681325	-0.9727469044441507
European	-14.028247739379387	5.801600045018196	-2.6131988869598133
European	-11.6306156688801	4.762051583239101	-1.0558238906248658
European	-13.331284150781018	2.233930206933301	-0.6865688009472192
European	-15.044230828611273	4.79503083032852	-1.0508386456086114
European	-13.818685226949212	3.340423922357764	0.5235562683089673
European	-10.546355061217119	3.006070102009438	-0.24407521609913932
European	-12.546972883215082	5.3224845228152535	-1.5958716132375412
European	-13.099750957622472	4.31678241029175	-1.733345930229295
European	-14.777235390388594	6.314397583728675	-1.8620292220105417
European	-14.283758863237127	2.8486543877356127	0.10127453891316802
European	-14.341558004282602	1.5720307370420172	0.7628139893767647
European	-13.113698617993109	3.6786152747808956	-1.6498139849479683
European	-13.404239786726887	3.160405509693995	-3.1400806331731195
European	-12.272235533341858	4.616525146141034	-1.8252119808902778
European	-11.34860382302571	3.902372558365297	-0.0996132950512849
European	-9.567563561395165	3.2199896548112297	-1.9839068923080898
European	-13.851859881795292	5.25412359276887	-0.08133521367098838
European	-13.630241072346271	4.428652726854962	-4.085771658905186
European	-12.242553119518142	4.061158944867365	-2.368216038065236
European	-9.748963464466334	2.7372055048657025	-4.569889371748511
European	-10.47472005996164	2.2001899993073937	1.4182052751918137
European	-10.584847233805991	3.805661846812181	2.4738044697543793
European	-12.220651013915056	2.918817424704954	0.33452407436389847
European	-12.008000956105722	3.821454323828965	-1.8605146431772412
European	-8.821867106188947	4.884355030095409	5.507969585410282
European	-11.849815873099864	4.395482370001934	-2.1923622982586175
European	-0.3587499027648159	-1.2816783642566763	9.685431964373645
European	-12.648925762219354	2.515423834788576	-2.378282053629849
Unlableled	387.11400098769485	73.91497278923747	-2.6019887294791455
Unlableled	381.91318159369564	77.18744111143648	-5.072250403597057
Unlableled	381.3831882279563	71.04658689924683	-6.898057912422623
Unlableled	381.81807063300806	71.72203670603027	-5.508717607614603
Unlableled	384.92098731173155	72.53684762813505	-5.3456803859668405
Unlableled	385.0718230144717	75.38886517956583	-4.821191364011206
Unlableled	387.66798549575424	75.37825855563749	-6.942626034231968
Unlableled	386.5070160368068	70.65585076002702	-4.579619853793066
Unlableled	382.1990501891658	70.56489145065164	-6.37107567585472
Unlableled	386.0260524840003	71.1658570030178	-9.25119303027101
Unlableled	385.3561510212682	73.94638794823504	-1.5694380524527656
Unlableled	382.5720386381476	76.23138851238741	-5.203198369833435
Unlableled	389.9900044790552	74.63513440218354	-10.076044457366038
Unlableled	388.4389717780201	75.79385016966192	-4.563697108767405
Unlableled	382.6869907075678	77.78356978936428	-3.9774446670049426
Unlableled	384.486056155702	70.8399676196727	-5.920435195476412
Unlableled	381.1189808068326	72.1492038434444	-8.11676106100047
Unlableled	382.8269664731593	71.87905925989263	-2.4334506070428903
Unlableled	380.429073605602	76.62391881631716	-7.408092970485184
Unlableled	389.61401752997784	74.25683095134319	-5.0269954212995245
Unlableled	385.1631185604133	74.68528400988747	-4.78821058532739
Unlableled	389.6771956835914	66.95883238168732	0.2671307929685339
Unlableled	387.80512494543495	69.41542057389022	-7.188092094906065
Unlableled	381.85994024247304	73.21674501405964	-6.29761333059663
Unlableled	384.38715807033424	71.2793425200493	-8.795117855401468
Unlableled	382.215108556342	61.20604957118435	-1.1446341148837471
Unlableled	386.6070184907622	78.32617489215443	-5.187057431599219
Unlableled	388.0538490226621	71.16645457592652	-5.226311788784712
Unlableled	388.1881985302582	73.50747436520913	-6.49714038658794
Unlableled	382.5419886133365	74.79931653279849	-5.817569848710709
Unlableled	380.2919216529834	73.454288828021	-5.444080344311092
Unlableled	388.4468817590218	71.79197825907787	-1.444661259159837
Unlableled	382.9341556580404	68.49898660208714	-5.068149919867255
Unlableled	386.93814388617017	75.48457792213568	-1.549857717663925
Unlableled	386.09197802981015	73.15061431204211	-5.682136475830283
Unlableled	389.007942701253	69.90252826357903	-2.169006306577362
Unlableled	385.95616839738545	70.32585247116778	-7.232439103034642
Unlableled	383.4378907631056	71.58396999013294	-2.978687132211011
Unlableled	386.49309573330964	71.2886109015517	-4.556028238849752
Unlableled	386.4188170224633	71.17461820398988	-5.532461410331726
Unlableled	384.9551869988093	64.16046427273257	-1.4273330599711649
Unlableled	380.0598211649553	76.02591066267593	-1.9561330537250636
Unlableled	381.3298691432891	68.76669457915109	-6.180451058301459
Unlableled	388.5298139128496	73.91661711294465	-6.959072000463065
Unlableled	380.1328525586753	69.62776840962712	-6.464636740172002
Unlableled	386.87803778355044	73.69054649073956	-6.66212237270657
Unlableled	384.6171293519787	71.92579507947154	-6.751483623105343
Unlableled	383.85208649422384	72.97236289970316	-4.421080146576408
Unlableled	389.4838990681063	70.9686541184415	-3.4781284892028754
Unlableled	381.1671937707934	69.2883781340911	-6.9253188714446505
