"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","40,603,656","±83,789"
"    Male:","19,513,250","±48,086"
"        Under 5 years","1,263,736","±15,939"
"        5 to 9 years","1,333,549","±24,282"
"        10 to 14 years","1,463,115","±19,749"
"        15 to 17 years","875,874","±11,155"
"        18 and 19 years","595,322","±11,823"
"        20 to 24 years","1,542,188","±17,760"
"        25 to 29 years","1,494,379","±15,306"
"        30 to 34 years","1,558,045","±13,721"
"        35 to 44 years","2,644,584","±18,701"
"        45 to 54 years","2,336,694","±16,444"
"        55 to 64 years","2,228,180","±9,583"
"        65 to 74 years","1,476,078","±10,174"
"        75 to 84 years","554,843","±7,890"
"        85 years and over","146,663","±5,394"
"    Female:","21,090,406","±50,991"
"        Under 5 years","1,198,366","±14,319"
"        5 to 9 years","1,271,483","±20,322"
"        10 to 14 years","1,425,307","±22,077"
"        15 to 17 years","834,643","±11,405"
"        18 and 19 years","576,679","±13,379"
"        20 to 24 years","1,509,814","±17,462"
"        25 to 29 years","1,488,805","±14,875"
"        30 to 34 years","1,617,188","±14,498"
"        35 to 44 years","2,859,825","±16,908"
"        45 to 54 years","2,571,976","±13,879"
"        55 to 64 years","2,590,130","±10,666"
"        65 to 74 years","1,930,656","±10,519"
"        75 to 84 years","890,181","±10,071"
"        85 years and over","325,353","±8,805"
