"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","202,889,017","±137,138"
"    Male:","100,806,043","±75,491"
"        Under 5 years","4,836,631","±17,883"
"        5 to 9 years","5,304,757","±35,392"
"        10 to 14 years","5,656,035","±32,401"
"        15 to 17 years","3,573,213","±15,242"
"        18 and 19 years","2,484,647","±14,779"
"        20 to 24 years","6,441,972","±18,092"
"        25 to 29 years","6,378,227","±19,264"
"        30 to 34 years","6,692,310","±15,251"
"        35 to 44 years","12,984,013","±21,076"
"        45 to 54 years","12,410,422","±19,668"
"        55 to 64 years","14,203,580","±12,428"
"        65 to 74 years","11,927,902","±10,388"
"        75 to 84 years","6,148,068","±19,477"
"        85 years and over","1,764,266","±18,331"
"    Female:","102,082,974","±76,536"
"        Under 5 years","4,593,913","±15,748"
"        5 to 9 years","5,053,205","±32,157"
"        10 to 14 years","5,341,869","±30,980"
"        15 to 17 years","3,362,816","±13,753"
"        18 and 19 years","2,362,606","±15,483"
"        20 to 24 years","6,143,842","±19,258"
"        25 to 29 years","6,067,643","±18,441"
"        30 to 34 years","6,460,544","±17,121"
"        35 to 44 years","12,519,762","±21,943"
"        45 to 54 years","12,023,148","±17,557"
"        55 to 64 years","14,396,840","±13,276"
"        65 to 74 years","13,011,061","±10,275"
"        75 to 84 years","7,659,533","±21,928"
"        85 years and over","3,086,192","±23,186"
