"Sex","Age","Population"
"Male","        18 and 19 years",4503114
"Male","        20 to 24 years",10925030
"Male","        25 to 29 years",11211933
"Male","        30 to 34 years",11595901
"Male","        35 to 44 years",22024008
"Male","        45 to 54 years",20286006
"Male","        55 to 64 years",20952443
"Male","        65 to 74 years",15904516
"Male","        75 to 84 years",7116244
"Male","        85 years and over",2170982
"Female","        18 and 19 years",4339246
"Female","        20 to 24 years",10457613
"Female","        25 to 29 years",10888520
"Female","        30 to 34 years",11382784
"Female","        35 to 44 years",21709553
"Female","        45 to 54 years",20387711
"Female","        55 to 64 years",21862591
"Female","        65 to 74 years",17873688
"Female","        75 to 84 years",9034893
"Female","        85 years and over",3791691
