"Sex","Age","Population"
"Male","        18 and 19 years",595322
"Male","        20 to 24 years",1542188
"Male","        25 to 29 years",1494379
"Male","        30 to 34 years",1558045
"Male","        35 to 44 years",2644584
"Male","        45 to 54 years",2336694
"Male","        55 to 64 years",2228180
"Male","        65 to 74 years",1476078
"Male","        75 to 84 years",554843
"Male","        85 years and over",146663
"Female","        18 and 19 years",576679
"Female","        20 to 24 years",1509814
"Female","        25 to 29 years",1488805
"Female","        30 to 34 years",1617188
"Female","        35 to 44 years",2859825
"Female","        45 to 54 years",2571976
"Female","        55 to 64 years",2590130
"Female","        65 to 74 years",1930656
"Female","        75 to 84 years",890181
"Female","        85 years and over",325353
