"Sex","Age","Population"
"Male","        18 and 19 years",1100530
"Male","        20 to 24 years",2722136
"Male","        25 to 29 years",2504898
"Male","        30 to 34 years",2518187
"Male","        35 to 44 years",4748729
"Male","        45 to 54 years",3903448
"Male","        55 to 64 years",2799925
"Male","        65 to 74 years",1523132
"Male","        75 to 84 years",615656
"Male","        85 years and over",181873
"Female","        18 and 19 years",1034597
"Female","        20 to 24 years",2593074
"Female","        25 to 29 years",2376834
"Female","        30 to 34 years",2315082
"Female","        35 to 44 years",4347323
"Female","        45 to 54 years",3745434
"Female","        55 to 64 years",2842265
"Female","        65 to 74 years",1755301
"Female","        75 to 84 years",860743
"Female","        85 years and over",332459
